domain,path,mean_luma,std_luma,mean_saturation,std_saturation,mean_gradient,p95_gradient,mean_dark_channel,low_energy,mid_energy,high_energy
SOTS_Haze,G:\My Drive\ComputerVision\data\sots_haze\0197_0.8_0.16.jpg,0.4142775535583496,0.2864263653755188,0.05291498824954033,0.05925050750374794,0.03480718657374382,0.14686518907546997,0.3120501935482025,0.9902179837226868,0.0077787525951862335,0.0020031605381518602
SOTS_Haze,G:\My Drive\ComputerVision\data\sots_haze\1744_0.85_0.08.jpg,0.3323420286178589,0.2813919484615326,0.12807351350784302,0.12891097366809845,0.05271734297275543,0.20488035678863525,0.20857757329940796,0.9842343330383301,0.012122659012675285,0.0036428116727620363
SOTS_Haze,G:\My Drive\ComputerVision\data\sots_haze\0062_0.9_0.2.jpg,0.5721132755279541,0.3453657627105713,0.07606995105743408,0.06721704453229904,0.03372610732913017,0.1329095959663391,0.4629799425601959,0.9921595454216003,0.006167869083583355,0.0016725310124456882
SOTS_Haze,G:\My Drive\ComputerVision\data\sots_haze\0185_1_0.16.jpg,0.49662768840789795,0.33022356033325195,0.04127077758312225,0.040551744401454926,0.022964749485254288,0.07977928221225739,0.42370498180389404,0.9947056770324707,0.00409453921020031,0.0011997070396319032
SOTS_Haze,G:\My Drive\ComputerVision\data\sots_haze\0071_0.8_0.2.jpg,0.44646719098091125,0.31106114387512207,0.09171661734580994,0.08322431147098541,0.05511483550071716,0.23916488885879517,0.3232320249080658,0.9888836145401001,0.008785066194832325,0.0023314577993005514
SOTS_Haze,G:\My Drive\ComputerVision\data\sots_haze\0090_0.85_0.12.jpg,0.5865911245346069,0.15556706488132477,0.06595318019390106,0.06165957450866699,0.07587970793247223,0.297029584646225,0.4294813871383667,0.9873912930488586,0.0096919946372509,0.0029166543390601873
SOTS_Haze,G:\My Drive\ComputerVision\data\sots_haze\0390_0.9_0.12.jpg,0.4097830057144165,0.2972666025161743,0.13938918709754944,0.13375207781791687,0.06997528672218323,0.2693853974342346,0.24664439260959625,0.9816896319389343,0.013378488831222057,0.004931897856295109
SOTS_Haze,G:\My Drive\ComputerVision\data\sots_haze\0258_0.8_0.2.jpg,0.40367719531059265,0.2973107099533081,0.021414831280708313,0.044184502214193344,0.02327417954802513,0.09413478523492813,0.3420874774456024,0.9922187328338623,0.0063291750848293304,0.0014519297983497381
FoggyCity_Medium,G:\My Drive\ComputerVision\data\Foggy_Cityscapes\Medium_Fog\165.png,0.22949004173278809,0.2681336998939514,0.05381612479686737,0.06821047514677048,0.029269538819789886,0.15876710414886475,0.15175601840019226,0.9818069934844971,0.014888034202158451,0.0033050987403839827
FoggyCity_Medium,G:\My Drive\ComputerVision\data\Foggy_Cityscapes\Medium_Fog\384.png,0.19042930006980896,0.21151785552501678,0.06892669945955276,0.07198195159435272,0.024130133911967278,0.12184935808181763,0.12639573216438293,0.983748197555542,0.012841127812862396,0.0034108960535377264
FoggyCity_Medium,G:\My Drive\ComputerVision\data\Foggy_Cityscapes\Medium_Fog\046.png,0.22596676647663116,0.253473699092865,0.037268415093421936,0.0442170649766922,0.01818343624472618,0.0795138031244278,0.17210271954536438,0.9877259135246277,0.009647413156926632,0.0026266181375831366
FoggyCity_Medium,G:\My Drive\ComputerVision\data\Foggy_Cityscapes\Medium_Fog\157.png,0.2611750364303589,0.2902144491672516,0.042199499905109406,0.05201813578605652,0.03355782479047775,0.17623373866081238,0.17501336336135864,0.9822410345077515,0.013797042891383171,0.003961768001317978
FoggyCity_Medium,G:\My Drive\ComputerVision\data\Foggy_Cityscapes\Medium_Fog\054.png,0.28614121675491333,0.3166235089302063,0.03842718154191971,0.046917229890823364,0.023185942322015762,0.09933333098888397,0.20726919174194336,0.9874098896980286,0.00993077177554369,0.0026592679787427187
FoggyCity_Medium,G:\My Drive\ComputerVision\data\Foggy_Cityscapes\Medium_Fog\073.png,0.2588370740413666,0.3002844750881195,0.044918790459632874,0.055806972086429596,0.033231258392333984,0.1779411882162094,0.17329484224319458,0.9792766571044922,0.016632037237286568,0.004091410897672176
FoggyCity_Medium,G:\My Drive\ComputerVision\data\Foggy_Cityscapes\Medium_Fog\316.png,0.1621924191713333,0.20636218786239624,0.12312737852334976,0.13570943474769592,0.028220226988196373,0.1530071347951889,0.08496834337711334,0.9746841788291931,0.020510826259851456,0.0048048528842628
FoggyCity_Medium,G:\My Drive\ComputerVision\data\Foggy_Cityscapes\Medium_Fog\210.png,0.27038219571113586,0.3026651442050934,0.04286857321858406,0.045635201036930084,0.017789922654628754,0.06921182572841644,0.2059899866580963,0.9886875152587891,0.008778279647231102,0.002534223487600684
